1;109
2;335
3;380
4;432
5;516
6;566
7;621
8;719
9;797
10;1048
11;1140
12;1344
13;1445
14;1602
15;1781
17;1973
16;1896
19;2220
18;2194
21;2777
20;2350
23;2901
22;2854
25;3045
24;2960
27;3176
26;3080
29;3463
28;3313
31;3705
30;3522
34;3927
35;4038
32;3764
33;3849
38;4311
39;4412
36;4103
37;4275
42;4846
43;5012
40;4573
41;4700
46;5477
47;5601
44;5245
45;5306
51;6060
50;5797
49;5696
48;5613
55;6369
54;6358
53;6222
52;6119
59;6885
58;6707
57;6573
56;6496
63;7533
62;7332
61;7170
60;7116
68;8031
69;8095
70;8194
71;8416
64;7608
65;7697
66;7701
67;7822
76;9121
77;9308
78;9462
79;9636
72;8444
73;8547
74;8609
75;9044
85;10510
84;10165
87;10685
86;10520
81;9875
80;9736
83;10067
82;9975
93;11255
92;11163
95;11455
94;11315
89;10893
88;10847
91;11093
90;11054
102;12320
103;12382
100;12077
101;12270
98;11856
99;12022
96;11650
97;11739
110;13304
111;13414
108;12895
109;13147
106;12809
107;12834
104;12485
105;12643
119;14155
118;13995
117;13881
116;13825
115;13721
114;13631
113;13571
112;13508
127;15255
126;15099
125;14960
124;14898
123;14735
122;14519
121;14427
120;14297
137;16544
136;16387
139;16723
138;16657
141;16910
140;16895
143;17286
142;17152
129;15544
128;15356
131;15694
130;15622
133;16013
132;15844
135;16331
134;16189
152;18451
153;18508
154;18666
155;18812
156;19039
157;19179
158;19282
159;19429
144;17443
145;17484
146;17580
147;17679
148;17938
149;18184
150;18250
151;18321
171;20927
170;20859
169;20709
168;20675
175;21364
174;21203
173;21110
172;21029
163;19837
162;19611
161;19569
160;19475
167;20570
166;20416
165;20222
164;19934
186;22467
187;22860
184;22236
185;22287
190;23073
191;23173
188;22971
189;23012
178;21513
179;21589
176;21416
177;21462
182;22051
183;22113
180;21756
181;21909
205;24727
204;24650
207;25042
206;24787
201;24302
200;24276
203;24405
202;24318
197;23937
196;23770
199;24127
198;24069
193;23368
192;23238
195;23746
194;23459
220;26910
221;27092
222;27179
223;27277
216;26487
217;26587
218;26615
219;26845
212;25784
213;26083
214;26257
215;26384
