3_Relax.txt

normale uni				normale bi				normale unibi				pmi uni				pmi bi				pmi unibi

asleep	29.351526322763455			listen bedtime	14.234278785883467			asleep	19.943459752988446			relaxation	8.960573476702509E-4			be relax	1.35666802333469E-4			relaxation	2.48015873015873E-4
relax	23.920209534386984			be relax	13.545408148210004			relax	15.519348354565105			meditation	6.720430107526882E-4			contemporary music	8.849949112792601E-5			meditation	1.8601190476190475E-4
relaxing	14.470234632156373			relax thoughtful	13.541131605323521			relaxing	10.059331655625183			calming	3.9580447259054025E-4			way great	6.858710562414266E-5			calming	1.0955302366345311E-4
massage	14.41890536068905			good relax	11.40106544182725			massage	9.102924615259074			relax	2.0227028164114015E-4			musical composition	6.142128861863522E-5			be relax	9.811616954474098E-5
unwind	10.030634354683514			unleash energy	7.117139392941733			be relax	6.221365191372418			relaxing	1.9585952954541004E-4			joy hear	5.63729635266926E-5			contemporary music	6.400409626216078E-5
meditation	6.958472538794246			peaceful perfect	7.117139392941732			unwind	6.100664419749187			healing	1.8864365214110544E-4			music help	5.63729635266926E-5			relax	5.598552438281558E-5
calming	6.918807626556582			relax peaceful	6.770565802661761			relax thoughtful	5.977112877185007			pool	1.6048788316482104E-4			tap foot	5.275931201857128E-5			relaxing	5.421111978489028E-5
soothing	5.874288334220609			great unwind	6.038784939465713			listen bedtime	4.879914631330543			painting	1.4729709824716454E-4			beautiful singing	5.1440329218106995E-5			healing	5.2213868003341685E-5
relaxation	5.41095231732987			relax back	5.693711514353387			good relax	4.722612219974166			reading	1.3964530093562352E-4			friend family	4.3779003589878295E-5			way great	4.96031746031746E-5
bedtime	5.38427144154187			stressful day	5.594878174080021			meditation	4.271308685125719			envelop	1.3785497656465398E-4			background music	3.944306393720664E-5			musical composition	4.4420753375977256E-5
thoughtful	5.229790270433658			need unwind	5.1604404096203185			calming	4.231369706440635			peaceful	1.3610997686130393E-4			album perfect	3.7074111148185224E-5			pool	4.4420753375977256E-5
peaceful	4.63604700386779			background music	4.951377430616932			bedtime	3.9557183905839493			tranquil	1.3440860215053763E-4			everyone enjoy	3.7074111148185224E-5			joy hear	4.0769732550554466E-5
stressful	4.331633314645018			voice relax	4.915347454731261			soothing	3.7353024774879944			hill	1.265022137887413E-4			work way	3.4581733928139156E-5			music help	4.0769732550554466E-5
read	3.904295803799219			get massage	4.7447595952944885			thoughtful	3.459285421105566			stress	1.2014176728539677E-4			make wonderful	3.373136342170951E-5			painting	4.0769732550554466E-5
background	3.664872062859743			ground music	4.51593592268681			peaceful perfect	3.378402437074992			elegance	9.956192751891676E-5			song range	3.373136342170951E-5			reading	3.865182436611008E-5
reading	3.21377535508005			music meditation	4.51371053510784			relaxation	3.237199975132483			quieter	9.190331770976932E-5			read lyric	3.3457124694703736E-5			envelop	3.8156288156288156E-5
good	3.1345570732285983			tranquil relaxing	4.51371053510784			relax peaceful	3.218445395407312			backdrop	8.33541718763024E-5			music work	3.318730917297226E-5			tap foot	3.8156288156288156E-5
meditate	2.927227068376912			back ground	4.49541860493179			unleash energy	2.927948778798326			nerve	8.33541718763024E-5			play car	3.240335698778393E-5			peaceful	3.767329716696805E-5
unleash	2.7647025110543444			great relaxation	4.378555499071785			peaceful	2.858810333829622			searing	7.735746886361879E-5			hard work	3.1413941507240916E-5			beautiful singing	3.7202380952380956E-5
great	2.647116114220312			soothing voice	4.076491007219566			great unwind	2.72790258894254			traffic	7.680491551459293E-5			be mood	2.5560412033841985E-5			tranquil	3.7202380952380956E-5
painting	2.452944156492074			take shower	4.04940689598409			stressful day	2.675820336061894			study	7.626019980172348E-5			glad have	2.4940765681506424E-5			hill	3.5014005602240894E-5
tranquil	2.2897762426624095			music read	3.889776476140643			relax back	2.6617716170893875			soothe	7.572315614114796E-5			tune great	2.3515579071134628E-5			stress	3.325352487363661E-5
shower	2.2563171386969803			be tranquil	3.842076194927085			stressful	2.585943851424573			soothing	6.870727266481156E-5			cd music	2.2611133722244833E-5			friend family	3.166160081053698E-5
tranquility	2.1785471082311445			soothing music	3.7461821707764913			good	2.549651424047733			encounter	6.516780710329097E-5			time play	2.0172678124747842E-5			background music	2.8525787311729804E-5
highly	2.1413307374605957			listen fall	3.622327651965664			read	2.475816596145202			evening	6.458070974200007E-5			good tune	1.9140587616039814E-5			elegance	2.755731922398589E-5
study	2.013461206078844			relaxing song	3.622327651965664			need unwind	2.407312285390848			novel	5.875785886362301E-5			play cd	1.7661915611367208E-5			album perfect	2.6812526812526813E-5
help	1.9899465177281335			playful contemporary	3.5585696964708666			background	2.3689198531591207			ticket	5.875785886362301E-5			such beautiful	1.679684219366759E-5			everyone enjoy	2.6812526812526813E-5
softly	1.9344473721890743			relax unwind	3.441424399490243			background music	2.3564082205726136			stream	5.6892530010809584E-5			be soothing	1.6138142499798274E-5			quieter	2.5437525437525436E-5
hallucination	1.9325369093780345			happy playful	3.3852829013308803			voice relax	2.307969771806603			sleep	5.674241779442222E-5			be subtle	1.5019074224264816E-5			work way	2.5010004001600642E-5
stress	1.890804917209491			set happy	3.211996106190894			get massage	2.252268291383328			unleash	5.629679671226707E-5			music do	1.325354698051066E-5			make wonderful	2.4395003903200624E-5
voice	1.862145614523131			unwind be	3.211996106190894			great	2.1948895007068376			mass	5.001250312578144E-5			think song	1.2740638815630216E-5			song range	2.4395003903200624E-5
energy	1.8014402472159947			want relax	3.179771663748243			ground music	2.1264190754227617			thoughtful	4.511617414843221E-5			instrument be	1.2321036938468742E-5			read lyric	2.4196670538133953E-5
