2_Bad Mood.txt

normale uni				normale bi				normale unibi				pmi uni				pmi bi				pmi unibi

feeling	8.039647304090426			warm feeling	11.70792773105278			asleep	5.382896977113983			peppy	1.773049645390071E-4			have message	1.5532774153463808E-4			have message	1.1419870574800152E-4
warm	7.7600304094579275			have warm	9.600322114340745			warm feeling	5.321289672921108			relaxation	1.773049645390071E-4			great mood	9.460290430916229E-5			great mood	6.955312119631369E-5
asleep	7.708790654858145			bad mood	9.28592468467033			feeling	5.279968288479358			aging	1.6886187098953058E-4			sad song	8.389965601141036E-5			sad song	6.168397244782565E-5
anxiety	6.855356711534691			good relax	5.700532720913625			warm	5.097651925003349			brightest	1.4983518130056938E-4			soundtrack life	6.081615277017576E-5			peppy	4.694835680751174E-5
relax	6.30780065460254			fun happy	5.451037137854131			anxiety	4.552658942388059			meditative	1.3815971262779773E-4			lyrical theme	5.8944886531093426E-5			relaxation	4.694835680751174E-5
joy	5.598728650387556			focus positive	5.416452642129409			bad mood	4.4210632217973105			tranquil	1.3297872340425532E-4			be sentimental	5.8051782189713225E-5			aging	4.47127207690588E-5
thought	5.451648875364337			happy make	5.202818694697186			have warm	4.316882451705583			sadness	1.0855405992184108E-4			give lot	5.8051782189713225E-5			soundtrack life	4.47127207690588E-5
emotional	4.708858901021518			positive thought	5.139193769905431			relax	4.099974805174447			fulfil	9.170946441672781E-5			feel pain	5.7185337679418995E-5			lyrical theme	4.333694474539545E-5
smile	4.582449248043071			wake sleep	4.7447595952944885			joy	3.5494527874724158			linger	9.170946441672781E-5			musical composition	5.7185337679418995E-5			be sentimental	4.268032437046522E-5
bad	4.57302209779878			message hope	4.61068574864799			thought	3.482049271907429			nerve	8.246742536698004E-5			powerful message	5.634437683119225E-5			give lot	4.268032437046522E-5
calming	4.223690702258379			love replace	4.378555499071785			calming	3.181997897728289			loneliness	7.998720204767237E-5			darkness be	4.616165812675991E-5			feel pain	4.204330460374185E-5
pain	4.035108047403268			music have	4.364187746326966			emotional	3.0597993443123808			negative	7.681081496274676E-5			good mood	4.616165812675991E-5			musical composition	4.204330460374185E-5
wake	3.2278249885378627			make smile	4.344550670701952			smile	2.968649178916264			soothe	7.491759065028469E-5			musical ability	4.5075501464953795E-5			powerful message	4.142502071251036E-5
clean	3.0742420423009484			feeling joy	4.208280291149788			bad	2.9204673962003316			painting	7.28650539201399E-5			be constant	4.455136772698922E-5			brightest	3.9674667724657806E-5
sad	3.0585816403195145			joy pain	3.853215947084391			pain	2.5522232773789217			divide	7.139797229758674E-5			smooth voice	4.257130693912303E-5			meditative	3.658313517468447E-5
suggestion	3.017498411863793			be bad	3.7003937961657543			focus positive	2.5357448569875793			melancholic	6.690753378830456E-5			course love	4.0759761962990134E-5			tranquil	3.5211267605633805E-5
sadness	2.9212864450567544			cry joy	3.3852829013308803			fun happy	2.5127865297369834			calming	6.526563111865292E-5			want play	4.0759761962990134E-5			darkness be	3.393857118615306E-5
though	2.890796495571805			feel treat	3.3852829013308803			positive thought	2.4097180968857708			weep	6.257822277847309E-5			life music	3.8701188126475485E-5			good mood	3.393857118615306E-5
strong	2.7770856225418457			warm feel	3.3852829013308803			happy make	2.40246722166723			stress	5.943183168905266E-5			be sad	3.6259472787265676E-5			musical ability	3.314001657000828E-5
negative	2.7709899346976634			have message	3.310071230893098			good relax	2.361306109987083			winter	5.9101654846335695E-5			great jazz	3.580764135066423E-5			be constant	3.275466754012447E-5
positive	2.717123562250479			great mood	3.2840840504031945			message hope	2.2697878402412552			thought	5.903605922497462E-5			high low	3.515062040845021E-5			smooth voice	3.129890453834116E-5
hope	2.582000970118928			anyone life	3.211996106190894			great	2.2195448419204205			relax	5.603317163760946E-5			make smile	2.993295019157088E-5			course love	2.9967036260113875E-5
life	2.5434749176301583			be fun	3.119486082796322			wake	2.100712814639019			happiness	5.526388505111909E-5			hard be	2.6064065472932468E-5			want play	2.9967036260113875E-5
great	2.522867997513925			sad song	3.1146432192205706			wake sleep	2.0913919848559472			warm	4.469873055605221E-5			much emotion	2.6064065472932468E-5			sadness	2.874389192296637E-5
coaching	2.3498744272190932			purchase friend	2.917332357105482			feeling joy	2.057416733930136			joy	4.441878026029405E-5			ability be	2.3946360153256706E-5			life music	2.8453549580310145E-5
cry	2.3472842495929296			pain pleasure	2.8502663604568124			make smile	2.021014766558237			pain	4.386926957666155E-5			put song	2.322071287588529E-5			be sad	2.665837295063758E-5
